pltID,mukey,muname
1_48_291_69,2888292,"Vamont clay, 0 to 1 percent slopes"
1_48_291_74,369302,"Lelavale silt loam, 0 to 1 percent slopes, frequently ponded"
1_48_313_1,370277,"Derly-Rader complex, 0 to 1 percent slopes"
1_48_351_5,2888423,"Waller-Dallardsville complex, 0 to 1 percent slopes"
1_48_361_1,2888502,"Orcadia-Urban land complex, 0 to 2 percent slopes"
1_48_361_25,2888508,"Evadale-Aldine complex, 0 to 1 percent slopes"
1_48_361_41,2888507,"Evadale-Gist complex, 0 to 1 percent slopes"
1_48_361_8,2888508,"Evadale-Aldine complex, 0 to 1 percent slopes"
1_48_407_69,2888467,"Segno fine sandy loam, 1 to 3 percent slopes"
1_48_457_70,1479364,"Mollville-Besner complex, 0 to 1 percent slopes, frequently ponded"
1_48_457_90,575937,Water
1_48_473_15,373835,"Depcor loamy fine sand, 1 to 5 percent slopes"
1_48_5_10,575229,"Moswell loam, 1 to 5 percent slopes"
1_48_5_5,575234,"Ozias silty clay, frequently flooded"
1_48_71_21,2760685,"Vamont clay, 0 to 1 percent slopes"
1_48_71_23,2760698,"League clay, 0 to 1 percent slopes"
1_48_71_68,2760699,"League-Urban land complex, 0 to 1 percent slopes"
1_48_71_7,363783,"Beaumont clay, 0 to 1 percent slopes"
2_48_315_26,576488,"Tenaha loamy fine sand, 5 to 15 percent slopes"
2_48_347_13,575674,"Trawick fine sandy loam, 8 to 20 percent slopes"
2_48_347_7,575679,"Tuscosso clay loam, frequently flooded"
2_48_365_39,2607249,"Scottsville-Latex complex, 0 to 2 percent slopes"
2_48_365_45,575701,Nahatche complex
2_48_365_85,2607242,"Eastwood very fine sandy loam, 1 to 5 percent slopes"
2_48_419_27,575765,"Tenaha loamy fine sand, 5 to 15 percent slopes"
2_48_73_21,575315,"Bowie fine sandy loam, 3 to 8 percent slopes"
2_48_73_56,575317,"Lilbert loamy fine sand, gently sloping"
3_48_231_2,367893,"Tinn clay, 0 to 1 percent slopes, frequently flooded"
3_48_285_14,369042,"Navaca clay, frequently flooded"
4_48_167_12,366111,"Verland silty clay loam, rarely flooded"
4_48_321_13,370519,"Pledger clay, 0 to 1 percent slopes, rarely flooded"
4_48_39_99,363072,"Surfside clay, 0 to 1 percent slopes, occasionally flooded"
1_9_1_154,286169,"Westbrook mucky peat, low salt"
1_18_101_20074,1443115,"Wellston-Tipsaw-Adyeville complex, 18 to 70 percent slopes"
2_18_19_20086,201066,"Crider-Haggatt silt loams, karst, rolling, eroded"
2_18_37_20028,535624,"Gilpin silt loam, 12 to 18 percent slopes, eroded"
3_18_47_20062,162278,"Fincastle silt loam, 1 to 3 percent slopes"
4_18_91_20058,272652,"Chelsea fine sand, 6 to 12 percent slopes"
2_24_21_310,534856,"Ravenrock-Highfield-Rock outcrop complex, 15 to 25 percent slopes"
2_24_31_1403,533581,"Brinklow-Blocktown channery silt loams, 15 to 25 percent slopes"
2_24_43_1715,534377,"Hagerstown silty clay loam, 8 to 15 percent slopes, very rocky"
8_36_71_1361,293936,"Mardin gravelly silt loam, 8 to 15 percent slopes"
1_39_131_1634,537725,"Shelocta-Latham association, steep"
1_39_131_4042,537739,"Trappist-Shelocta association, steep"
1_39_79_1895,2451018,"Omulga silt loam, 6 to 12 percent slopes"
1_39_79_3519,536012,"Clymer loam, 15 to 25 percent slopes"
1_39_87_1922,536191,"Upshur-Gilpin complex, 40 to 70 percent slopes"
2_39_115_3461,1541142,"Guernsey-Upshur silty clay loams, 15 to 25 percent slopes, eroded"
2_39_127_5836,537543,"Guernsey-Westmoreland silt loams, 15 to 25 percent slopes"
2_39_167_3299,536537,"Otwell silt loam, 2 to 6 percent slopes"
2_39_167_4187,536498,"Gilpin-Summitville-Upshur complex, 35 to 70 percent slopes, benched"
2_39_9_2650,537388,"Steinsburg sandy loam, 40 to 70 percent slopes"
3_39_111_4605,537791,"Guernsey-Upshur complex, 18 to 35 percent slopes, moderately eroded"
3_39_119_1553,537889,"Gilpin silt loam, 8 to 15 percent slopes"
3_39_119_1793,537956,"Westmoreland silt loam, 25 to 35 percent slopes"
3_39_67_3590,536747,"Guernsey silty clay loam, 15 to 25 percent slopes, eroded"
3_39_67_4744,536711,"Aaron silty clay loam, 6 to 15 percent slopes, eroded"
0_42_55_4874,545187,Pope silt loam
0_42_99_5240,693990,"Laidig very stony loam, 8 to 25 percent slopes"
5_42_129_4986,544660,"Gilpin-Upshur complex, 15 to 25 percent slopes"
7_42_51_4968,1591041,"Culleoka channery silt loam, 15 to 25 percent slopes"
8_42_103_3713,297189,"Manlius-Arnot-Rock outcrop complex, 30 to 80 percent slopes"
8_42_93_5112,538990,"Evendale cherty silt loam, 3 to 8 percent slopes"
9_42_11_5441,543079,Udorthents
9_42_133_4260,542916,"Neshaminy channery silt loam, 8 to 25 percent slopes, extremely bouldery"
9_42_133_4555,542917,"Neshaminy channery silt loam, 25 to 45 percent slopes, extremely bouldery"
2_54_37_213,1710312,Funkstown silt loam
2_54_57_1243,555999,"Weikert-Berks channery silt loams, 35 to 65 percent slopes"
2_54_65_623,555735,"Weikert-Berks channery silt loams, 15 to 25 percent slopes"
3_54_109_328,513488,"Berks-Pineville association, very steep, very stony"
3_54_39_2173,3054877,"Pits, mine"
3_54_45_1487,1155540,"Fiveblock and Kaymine soils, 35 to 80 percent slopes, extremely stony"
3_54_47_1032,532201,"Berks-Rock outcrop complex, extremely steep, extremely stony"
3_54_55_961,2516577,"Clymer-Gilpin complex, 15 to 30 percent slopes"
3_54_5_117,514863,"Kaymine-Cedarcreek-Matewan complex, 35 to 65 percent slopes, extremely stony"
3_54_89_714,2516602,"Tilsit silt loam, 3 to 8 percent slopes"
4_54_73_630,514693,"Gilpin-Upshur complex, 35 to 70 percent slopes"
1_1_3_11,328148,"Hyde, Bayboro, and Muck soils"
1_1_3_141,328211,"Sunsweet fine sandy loam, 5 to 8 percent slopes, eroded"
1_1_53_107,329320,Chewacla-Lenoir-Riverview association
1_1_53_56,329314,"Benndale-Orangeburg complex, 8 to 12 percent slopes"
2_1_131_40,331679,"Una silty clay, ponded"
2_1_131_59,331662,"Luverne sandy loam, 15 to 35 percent slopes"
2_1_25_140,600048,"Prim-Eutrudepts complex, 35 to 60 percent slopes, very stony"
2_1_25_82,600073,"Smithdale-Boykin complex, 2 to 5 percent slopes"
2_1_25_99,600099,"Flomaton-Smithdale-Wadley complex, 10 to 25 percent slopes"
2_1_35_62,328736,"Orangeburg sandy loam, 1 to 6 percent slopes"
3_1_1_26,3116206,"Luverne-Smithdale complex, 15 to 35 percent slopes"
3_1_1_8,328081,"Ochrepts, loamy, 5 to 25 percent slopes"
3_1_31_30,328657,"Luverne-Lucy association, rolling"
3_1_41_24,762733,"Nankin-Springhill-Lucy complex, 15 to 35 percent slopes"
3_1_47_116,329068,"Kipling loam, 1 to 5 percent slopes"
3_1_47_28,329082,"Minter silt loam, ponded"
3_1_61_40,329634,"Orangeburg sandy loam, 2 to 5 percent slopes"
3_1_85_48,2514601,"Annemaine fine sandy loam, 0 to 2 percent slopes, rarely flooded"
4_1_125_65,331506,Choccolocco silt loam
4_1_63_24,329670,Leaf silt loam
4_1_63_4,329702,"Savannah fine sandy loam, 2 to 5 percent slopes"
5_1_121_9,523264,Toccoa loams
2_12_33_101,1425319,"Hurricane sand, 0 to 5 percent slopes"
2_12_33_6,1425339,"Troup sand, 0 to 5 percent slopes"
2_12_39_30,1381542,"Albany-Blanton complex, 0 to 5 percent slopes"
3_12_105_95,1425022,"Kaliga muck, frequently ponded, 0 to 1 percent slopes"
1_21_195_66,550044,"Myra very channery silt loam, 30 to 70 percent slopes, stony"
1_21_95_28,552110,"Cloverlick-Guyandotte-Highsplint complex, 20 to 80 percent slopes, very stony"
1_21_95_41,552135,"Udorthents-Urban land complex, occasionally flooded"
2_21_19_18,550433,"Vandalia-Upshur complex, 30 to 60 percent slopes"
3_21_13_16,552132,"Shelocta-Highsplint-Gilpin complex, 20 to 70 percent slopes, very stony"
3_21_13_5,552132,"Shelocta-Highsplint-Gilpin complex, 20 to 70 percent slopes, very stony"
4_21_151_23,1397910,"Faywood-Lowell-Cynthiana complex, 8 to 30 percent slopes, eroded, very rocky"
4_21_187_17,551986,"Eden flaggy silty clay, 20 to 30 percent slopes, severely eroded"
5_21_163_28,549578,"Elk silt loam, 12 to 20 percent slopes, severely eroded"
5_21_1_30,1592495,"Garmon channery silt loam, 20 to 70 percent slopes"
5_21_231_37,550062,"Caneyville silt loam, 6 to 20 percent slopes, rocky"
6_21_31_30,2452841,"Caneyville-Lenberg-Rock outcrop complex, 20 to 30 percent slopes"
6_21_31_8,2452869,"Gilpin loam, 12 to 20 percent slopes, eroded"
6_21_3_16,548756,"Christian gravelly silt loam, 6 to 12 percent slopes, eroded"
7_21_75_6,654194,"Memphis-Natchez complex, 30 to 50 percent slopes, gullied"
1_22_83_44,1714784,"Grenada-Calhoun silt loams complex, 0 to 3 percent slopes"
2_22_101_83,378497,"Iberia clay, 0 to 1 percent slopes"
2_22_101_98,378478,"Aquents, dredged, 1 to 5 percent slopes, occasionally flooded"
2_22_45_67,824179,Delcomb association
2_22_47_68,3260445,"Sharkey clay, 0 to 1 percent slopes, rarely flooded, deltaic plain"
2_22_51_41,1413444,"Lafitte-Clovelly association, 0 to 0.2 percent slopes, very frequently flooded"
2_22_57_143,808528,"Schriever clay, 0 to 1 percent slopes, rarely flooded"
2_22_57_156,808517,Fausse-Schriever association
2_22_77_39,1678438,"Sharkey soils, occasionally flooded"
2_22_7_28,1414499,"Barbary muck, 0 to 1 percent slopes, frequently flooded"
2_22_7_29,1414505,"Schriever clay, 0 to 1 percent slopes, frequently flooded"
2_22_89_41,375479,"Schriever clay, 0 to 1 percent slopes, frequently flooded"
2_22_95_34,576993,"Cancienne and Carville soils, gently undulating, frequently flooded"
2_22_97_83,823560,"Kinder-Vidrine complex, 0 to 1 percent slopes"
2_22_99_67,1451686,"Dowling soils, 0 to 1 percent slopes, frequently flooded"
2_22_9_93,1711930,"Dundee silty clay loam, occasionally flooded"
3_22_11_76,1725696,"Caddo-Messer complex, 0 to 1 percent slopes"
3_22_19_102,1413685,Guyton and Bienville soils frequently flooded
3_22_19_103,1413696,"Mowata-Vidrine complex, 0 to 1 percent slopes, rarely flooded"
3_22_19_109,1413674,"Brimstone silt loam, 0 to 1 percent slopes, rarely flooded"
3_22_19_94,1413670,"Barbary mucky clay, 0 to 1 percent slopes, frequently flooded"
3_22_39_53,1017153,"Kinder-Vidrine complex, 0 to 1 percent slopes"
3_22_39_60,1017142,"Mowata silt loam, 0 to 1 percent slopes, rarely flooded"
3_22_39_61,1017155,"Basile and Brule, 0 to 3 percent slopes, frequently flooded"
3_22_39_66,1017153,"Kinder-Vidrine complex, 0 to 1 percent slopes"
3_22_39_68,1017131,"Glenmora silt loam, 1 to 3 percent slopes"
3_22_53_67,1414669,"Crowley-Vidrine complex, 0 to 1 percent slopes"
3_22_79_144,3103233,"Caddo-Messer complex, 0 to 1 percent slopes"
4_22_103_125,327020,"Stough fine sandy loam, 0 to 1 percent slopes"
4_22_103_89,327000,"Guyton silt loam, 0 to 1 percent slopes, rarely flooded"
4_22_105_58,1536521,"Ruston-Smithdale association, 3 to 12 percent slopes"
4_22_105_65,1536518,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
4_22_105_68,1536527,"Tangi silt loam, 3 to 8 percent slopes"
4_22_105_69,1536518,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
4_22_105_80,1536526,"Tangi silt loam, 1 to 3 percent slopes"
4_22_105_81,1536511,"Guyton silt loam, 0 to 1 percent slopes, rarely flooded"
4_22_117_62,1724134,"Arkabutla, Rosebloom, and Jena soils, frequently flooded"
4_22_117_75,1724150,"Ruston fine sandy loam, 3 to 8 percent slopes"
4_22_37_35,1605283,"Tangi silt loam, 1 to 3 percent slopes"
4_22_63_53,569755,Stough fine sandy loam
4_22_63_56,569753,"Satsuma silt loam, 1 to 3 percent slopes"
4_22_63_61,569740,"Dexter very fine sandy loam, 1 to 3 percent slopes"
4_22_63_65,569754,Springfield silt loam
4_22_91_19,1721643,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
4_22_91_25,1721646,"Ruston-Smithdale association, 3 to 12 percent slopes"
4_22_91_3,1721646,"Ruston-Smithdale association, 3 to 12 percent slopes"
4_22_91_34,1721643,"Ouachita, Ochlockonee and Guyton soils, 0 to 3 percent slopes, frequently flooded"
5_22_15_64,570971,"Wrightsville silt loam, 0 to 1 percent slopes"
5_22_27_12,569331,"Sacul very fine sandy loam, 1 to 5 percent slopes"
1_28_51_63,1713061,"Collins silt loam, occasionally flooded"
2_28_15_53,567542,"Loring-Memphis association, rolling"
3_28_121_10,333869,"Kipling silt loam, 5 to 8 percent slopes, moderately eroded"
3_28_121_23,333858,"Providence silt loam, 5 to 8 percent slopes, moderately eroded"
3_28_127_47,333983,"Smithdale fine sandy loam, 12 to 40 percent slopes"
3_28_127_55,333981,"Ruston fine sandy loam, 2 to 5 percent slopes, moderately eroded"
4_28_109_47,333530,"Bassfield sandy loam, 0 to 3 percent slopes"
4_28_153_17,2403470,"Brantley-Okeelala complex, 15 to 35 percent slopes, eroded"
4_28_35_29,332201,"Alaga loamy sand, 0 to 5 percent slopes"
5_28_157_31,571071,"Memphis silt loam, 15 to 25 percent slopes, eroded"
5_28_49_77,567902,"Byram-Urban land complex, 2 to 8 percent slopes"
5_28_85_11,568139,"Bude silt loam, 0 to 2 percent slopes"
5_28_89_82,568239,Oaklimeter-Ariel-Gillsburg association
1_37_101_120,113519,"Bibb sandy loam, 0 to 2 percent slopes, frequently flooded"
1_37_105_8,113585,"Fuquay loamy sand, 0 to 6 percent slopes"
1_37_133_25,116108,Woodington loamy fine sand
1_37_163_47,115048,"Faceville fine sandy loam, 2 to 6 percent slopes"
3_37_149_9,111109,"Tate-Greenlee complex, escarpment, 15 to 30 percent slopes, extremely stony"
3_37_167_4,2440260,"Oakboro silt loam, 0 to 2 percent slopes, frequently flooded"
3_37_169_50,2389042,"Rhodhiss, Fairview, and Stott Knob soils, 25 to 60 percent slopes"
3_37_171_94,1427746,"Woolwine-Fairview-Westfield complex, 8 to 15 percent slopes, moderately eroded"
4_37_193_72,1383444,"Evard-Cowee complex, 8 to 25 percent slopes, stony"
4_37_193_80,1383446,"Evard-Cowee complex, 25 to 60 percent slopes, stony"
4_37_23_32,116994,"Evard-Cowee complex, escarpment, 15 to 30 percent slopes, stony"
4_37_27_30,2679218,"Danripple sandy clay loam, 8 to 15 percent slopes, moderately eroded"
2_45_85_90,2485974,"Norfolk-Noboco complex, 2 to 6 percent slopes"
3_45_81_36,131182,"Georgeville silt loam, 2 to 6 percent slopes"
1_47_131_62,567266,"Memphis silt loam, 20 to 30 percent slopes, moderately eroded, northern phase"
1_47_167_13,567343,"Grenada silt loam, 5 to 8 percent slopes, severely eroded"
1_47_79_69,2545240,"Calloway-Kurk complex, 0 to 2 percent slopes"
2_47_161_59,2396886,"Bodine gravelly silt loam, 20 to 40 percent slopes"
2_47_71_79,327517,"Bodine gravelly silt loam, 12 to 30 percent slopes"
3_47_103_25,525825,"Dellrose gravelly silt loam, 20 to 45 percent slopes, eroded"
3_47_103_72,525824,"Dellrose gravelly silt loam, 12 to 20 percent slopes, eroded"
3_47_189_62,528479,"Mimosa-Rock outcrop complex, 20 to 40 percent slopes"
3_47_37_63,523409,"Bodine-Sulphura complex, 20 to 50 percent slopes"
3_47_41_1,527075,"Mimosa-Rock outcrop complex, 20 to 40 percent slopes"
3_47_41_34,527044,"Hawthorne gravelly silt loam, 20 to 60 percent slopes"
3_47_41_35,527043,"Hawthorne-Sugargrove complex, 5 to 20 percent slopes"
3_47_41_38,527082,"Mountview silt loam, 2 to 5 percent slopes"
3_47_55_75,527298,"Dellrose gravelly silt loam, 20 to 30  percent slopes, eroded"
3_47_55_80,527312,"Fullerton cherty silt loam, 20 to 30 percent slopes"
3_47_55_84,527278,"Bodine cherty silt loam, 20 to 45 percent slopes"
3_47_87_37,530189,"Hawthorne gravelly silt loam, 5 to 20 percent slopes"
4_47_175_35,528661,"Lonewood silt loam, 5 to 12 percent slopes"
4_47_35_88,523883,"Lily loam, 6 to 12 percent slopes"
5_47_1_10,1887399,"Gilpin-Bouldin-Petros complex, 25 to 75 percent slopes, very stony"
5_47_25_17,524489,Claiborne silt loam
5_47_57_1,525020,"Etowah silt loam, 6 to 12 percent slopes"
5_47_89_6,3256031,"Dewey-Collegedale complex, 6 to 15 percent slopes, moderately eroded"
5_47_93_63,632865,"Dewey silt loam, 6 to 15 percent slopes, eroded"
1_48_199_20,2760765,"Belrose-Caneyhead frequently ponded complex, 0 to 1 percent slopes"
1_48_199_27,379706,"Sorter-Dallardsville complex, 0 to 1 percent slopes"
1_48_199_39,2760771,"Spurger very fine sandy loam, 0 to 3 percent slopes"
1_48_201_140,2760816,"Waller-Tarkington complex, 0 to 1 percent slopes"
1_48_201_178,367379,"Clodine-Urban land complex, 0 to 1 percent slopes"
1_48_201_30,2888243,"Texla-Urban land complex, 0 to 2 percent slopes"
1_48_201_31,367411,Wockley-Urban land complex
1_48_201_64,3103276,"Mocarey-Algoa loams complex, 0 to 1 percent slopes, rarely flooded"
1_48_201_90,2888230,"Bissonnet-Aldine complex, 0 to 1 percent slopes"
1_48_225_119,575492,"Betis loamy fine sand, 1 to 5 percent slopes"
1_48_241_107,2888394,"Evadale-Gist complex, 0 to 1 percent slopes"
1_48_241_109,2773763,"Urbo and Mantachie soils, frequently flooded"
1_48_241_18,2888425,"Vidor-Gist complex, 0 to 1 percent slopes"
1_48_241_35,2888404,"Texla silt loam, 0 to 2 percent slopes"
1_48_241_49,374455,"Simelake-Pluck complex, 0 to 1 percent slopes, frequently flooded"
1_48_245_110,374915,"Neel-Urban land complex, 2 to 5 percent slopes, rarely flooded, tidal"
1_48_245_53,2888518,"Simelake clay, 0 to 1 percent slopes, frequently flooded"
1_48_291_103,2888293,"Bevil clay, 0 to 1 percent slopes"
1_48_291_105,369253,"Beaumont clay, 0 to 1 percent slopes"
1_48_291_108,2888299,"Westcott-Plumgrove complex, 0 to 1 percent slopes"
1_48_291_114,2888270,"Evadale-Aldine complex, 0 to 1 percent slopes"
1_48_291_122,2888300,"Kaman clay, 0 to 1 percent slopes, frequently flooded"
1_48_291_123,2888311,"Labelle-Levac complex, 0 to 1 percent slopes"
1_48_291_128,369253,"Beaumont clay, 0 to 1 percent slopes"
1_48_291_16,2888282,"Waller silt loam, 0 to 1 percent slopes"
1_48_291_76,2888268,"Evadale silt loam, 0 to 1 percent slopes"
1_48_291_78,2888298,"Westcott very fine sandy loam, 0 to 1 percent slopes"
1_48_291_87,2888300,"Kaman clay, 0 to 1 percent slopes, frequently flooded"
1_48_339_10,2888359,"Westcott very fine sandy loam, 0 to 1 percent slopes"
1_48_339_100,2888358,"Sorter-Tarkington complex, 0 1 percent slopes"
1_48_339_103,575603,"Splendora fine sandy loam, 0 to 2 percent slopes"
1_48_339_120,575585,"Lilbert loamy fine sand, terrace"
1_48_339_34,575570,"Boy loamy fine sand, 1 to 5 percent slopes"
1_48_339_52,575575,"Conroe loamy fine sand, 0 to 5 percent slopes"
1_48_351_112,2888423,"Waller-Dallardsville complex, 0 to 1 percent slopes"
1_48_351_72,374455,"Simelake-Pluck complex, 0 to 1 percent slopes, frequently flooded"
1_48_361_16,2888504,"Belrose-Caneyhead frequently ponded complex, 0 to 1 percent slopes"
1_48_361_22,374877,"Barbary mucky clay, 0 to 1 percent slopes, frequently flooded"
1_48_361_27,2888501,"Orcadia-Aris complex, 0 to 1 percent slopes"
1_48_361_35,2888538,"Orcadia-Aris complex, 0 to 1 percent slopes, rarely flooded"
1_48_361_5,2888505,"Camptown silt loam, 0 to 1 percent slopes, frequently ponded"
1_48_373_105,576201,"Laska fine sandy loam, 1 to 5 percent slopes"
1_48_407_28,2888448,"Sorter silt loam, 0 to 1 percent slopes"
1_48_455_62,577092,"Moten-Multey complex, 0 to 2 percent slopes"
1_48_455_63,577082,"Gladewater clay, 0 to 1 percent slopes, frequently flooded"
1_48_457_28,1479396,"Kenefick-Caneyhead frequently ponded complex, 0 to 1 percent slopes"
1_48_457_7,1539302,"Ozias-Pophers complex, 0 to 1 percent slopes, frequently flooded"
1_48_473_62,373824,"Chazos loamy fine sand, 1 to 5 percent slopes"
1_48_5_20,575195,"Diboll very fine sandy loam, 1 to 4 percent slopes"
1_48_5_36,575251,"Woodtell very fine sandy loam, 1 to 5 percent slopes"
1_48_5_4,575232,"Moten-Multey complex, gently undulating"
1_48_5_72,575199,"Fuller fine sandy loam, 1 to 4 percent slopes"
2_48_347_50,575647,"Mantachie soils, frequently flooded"
2_48_347_78,575674,"Trawick fine sandy loam, 8 to 20 percent slopes"
2_48_347_88,3009431,"Eastwood very fine sandy loam, 5 to 20 percent slopes"
2_48_419_74,3009447,"Eastwood very fine sandy loam, 5 to 20 percent slopes"
2_48_73_19,575315,"Bowie fine sandy loam, 3 to 8 percent slopes"
3_48_149_81,365730,"Kurten very fine sandy loam, 2 to 5 percent slopes"
4_48_39_130,363071,"Churnabog clay, 0 to 1 percent slopes, frequently flooded, occasonally ponded"
4_48_39_5,363056,"Lake Charles clay, 0 to 1 percent slopes"
1_9_1_335,285962,"Haven-Urban land complex, 0 to 8 percent slopes"
2_18_123_22030,535760,"Gatchel loam, 0 to 3 percent slopes, occasionally flooded, very brief duration"
2_18_25_20005,1652544,"Apalona-Zanesville silt loams, 6 to 12 percent slopes, severely eroded"
4_18_81_20086,161687,Shoals silt loam
4_18_85_20155,160873,"Kosciusko sandy loam, 0 to 2 percent slopes"
2_24_13_412,2496009,"Manor loam, 15 to 25 percent slopes"
2_24_3_1509,137731,"Annapolis-Urban land complex, 0 to 5 percent slopes"
2_24_43_821,534386,"Hagerstown-Duffield-Urban land complex, 8 to 25 percent slopes"
8_36_119_218,309703,"Charlton-Chatfield complex, 0 to 15 percent slopes, very rocky"
8_36_27_3625,290721,Sun silt loam
8_36_85_1295,292919,"Montauk loam, 0 to 3 percent slopes"
1_39_131_2377,537723,"Shelocta-Brownsville association, steep"
1_39_53_1131,536787,"Aaron silt loam, 8 to 15 percent slopes"
1_39_71_3293,1420531,"Trappist-Muse silt loams, 6 to 12 percent slopes, moderately eroded"
1_39_87_4349,536191,"Upshur-Gilpin complex, 40 to 70 percent slopes"
2_39_115_3197,537473,"Westgate silt loam, 6 to 12 percent slopes, eroded"
2_39_167_1390,536498,"Gilpin-Summitville-Upshur complex, 35 to 70 percent slopes, benched"
2_39_9_2694,537355,"Elba-Brookside-Berks complex, 40 to 70 percent slopes"
3_39_111_5460,537774,"Gilpin-Upshur silt loams, 35 to 70 percent slopes"
3_39_121_3388,2899917,"Bethesda channery loam, 0 to 8 percent slopes, unreclaimed, highwall"
3_39_31_1154,536618,"Coshocton silt loam, 15 to 25 percent slopes"
3_39_59_4812,3086560,"Bethesda channery silt loam, 25 to 70 percent slopes, unreclaimed"
3_39_81_3382,536082,"Gilpin-Lowell silt loams, 15 to 25 percent slopes"
3_39_81_5264,536081,"Gilpin-Lowell silt loams, 8 to 15 percent slopes"
5_39_61_4194,169385,"Eden silty clay loam, 25 to 40 percent slopes"
0_42_55_1584,545226,"Weikert very channery silt loam, 8 to 15 percent slopes"
5_42_125_5306,542161,"Guernsey silt loam, 15 to 25 percent slopes"
5_42_125_922,542152,"Dormont-Culleoka complex, 15 to 25 percent slopes"
7_42_13_3521,542402,"Opequon-Hagerstown-Rock outcrop complex, 25 to 50 percent slopes"
7_42_51_5140,1591171,"Itmann extremely channery loam, 8 to 25 percent slopes"
9_42_11_5003,542978,"Berks-Weikert complex, 8 to 15 percent slopes"
9_42_1_1854,545549,"Arendtsville gravelly loam, 15 to 25 percent slopes"
9_42_1_4895,545552,"Athol gravelly silt loam, 3 to 8 percent slopes"
2_54_1_1093,513226,"Cookport loam, 8 to 15 percent slopes"
2_54_33_2308,515843,"Westmoreland silt loam, 35 to 60 percent slopes"
2_54_3_550,516271,"Poorhouse silt loam, 0 to 3 percent slopes"
2_54_7_1890,513060,"Gilpin-Upshur silt loams, 35 to 70 percent slopes"
3_54_15_1928,516102,"Laidig channery loam, 15 to 35 percent slopes, extremely stony"
3_54_19_1382,2513089,"Berks-Highsplint-Sharondale complex, 35 to 80 percent slopes, very stony"
3_54_39_456,512830,"Clymer-Dekalb complex, very steep"
3_54_39_791,512838,"Gilpin-Upshur silt loams, steep"
3_54_45_1949,1155555,"Matewan-Pineville-Guyandotte association, very steep, extremely stony"
3_54_5_1770,514855,"Matewan-Pineville-Guyandotte association, very steep, extremely stony"
3_54_5_187,514851,"Berks-Shelocta association, very steep, extremely stony"
3_54_63_385,1604177,"Weikert channery silt loam, 25 to 55 percent slopes"
3_54_67_2152,2512854,"Gilpin-Pineville-Guyandotte association, very steep, extremely stony"
3_54_81_1195,2513090,"Layland-Dekalb-Guyandotte complex, 35 to 70 percent slopes, extremely stony"
4_54_103_2220,513710,"Gilpin-Peabody complex, 35 to 70 percent slopes"
4_54_43_1273,553320,"Gilpin-Upshur silt loams, 35 to 70 percent slopes"
4_54_43_368,557377,"Rayne-Matewan complex, 35 to 65 percent slopes, very stony"
4_54_49_715,514365,"Dekalb channery loam, 25 to 35 percent slopes"
4_54_73_960,514691,"Gilpin-Upshur complex, 15 to 25 percent slopes"
1_1_3_3,328132,"Faceville fine sandy loam, 0 to 2 percent slopes"
1_1_53_83,329362,"Ruston very fine sandy loam, 2 to 5 percent slopes"
1_1_97_131,2995064,"Wadley-Heidel complex, 15 to 25 percent slopes"
1_1_97_38,2994950,"Bama fine sandy loam, 0 to 2 percent slopes"
1_1_97_69,2995064,"Wadley-Heidel complex, 15 to 25 percent slopes"
2_1_119_3,3121695,"Mooreville, Mantachie and Kinston soils, 0 to 2 percent slopes, frequently flooded"
2_1_99_43,330857,"Saffell-Lucy (flomaton) complex, 15 to 35 percent slopes"
3_1_101_44,330918,"Izagora fine sandy loam, very gently sloping phase"
3_1_47_62,329061,Gaylesville loam
3_1_51_32,329248,Congaree silt loam
3_1_87_22,330458,"Faunsdale clay loam, 1 to 3 percent slopes"
5_1_127_64,331563,"Townley silt loam, 6 to 15 percent slopes"
6_1_71_72,522929,Limestone rockland rough
6_1_95_30,330745,"Rockland, sandstone"
3_5_133_52,1707534,"Smithdale fine sandy loam, 3 to 8 percent slopes"
3_5_133_60,1707528,"Sardis silt loam, 0 to 3 percent slopes, occasionally flooded"
5_5_101_83,566026,"Noark very gravelly silt loam, 8 to 20 percent slopes"
5_5_7_94,565043,"Nixa very gravelly silt loam, 8 to 12 percent slopes"
5_5_87_88,565922,"Leesburg stony loam, 8 to 12 percent slopes"
1_12_107_7,323427,"Tavares fine sand, 0 to 5 percent slopes"
1_12_23_19,797447,"Ichetucknee fine sand, 2 to 5 percent slopes"
1_12_23_50,797487,"Blanton fine sand, 0 to 5 percent slopes"
1_12_89_9,132911,Kingsferry fine sand
2_12_133_29,2398464,"Dothan loamy sand, 2 to 5 percent slopes"
3_12_117_21,1478704,Myakka and EauGallie fine sands
3_12_69_60,1603132,"Apopka sand, 0 to 5 percent slopes"
3_12_95_30,323139,"Ona fine sand, 0 to 2 percent slopes"
1_13_167_33,325947,"Dothan loamy sand, 2 to 5 percent slopes"
1_13_175_55,325951,"Fuquay loamy sand, 0 to 5 percent slopes"
1_13_271_42,325387,"Lakeland sand, 0 to 8 percent slopes"
1_13_279_27,326068,"Tifton loamy sand, 2 to 5 percent slopes"
1_13_91_55,325391,"Nankin loamy sand, 2 to 5 percent slopes"
2_13_277_30,324937,Kinston and Osier fine sandy loams
